rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:51MMC5DogGZAnHil5HQAXg","Post Malone","Circles","Republic Records",1,1,13,"2373826"
2,"spotify:track:4Yq3XUNfWrAPWuB94qkC09","Post Malone, Ozzy Osbourne, Travis Scott","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Republic Records",2,2,6,"1861194"
3,"spotify:track:7C39RtGhnEw7cyf0Pyw7PV","Post Malone","Saint-Tropez","Republic Records",2,3,6,"1771869"
4,"spotify:track:6UFEJuDXQMWhL5UH5f9fUR","Post Malone, DaBaby","Enemies (feat. DaBaby)","Republic Records",3,4,6,"1724230"
5,"spotify:track:6vBdBCoOhKHiYDDOcorfNo","Post Malone, Young Thug","Goodbyes (feat. Young Thug)","Republic Records",1,5,69,"1707489"
6,"spotify:track:77Y7tccX9Hx5iClDr39uy9","Post Malone","Hollywood's Bleeding","Republic Records",4,6,6,"1572214"
7,"spotify:track:59PYPDxTbqJpiGfyogPb5h","Post Malone, Halsey, Future","Die For Me (feat. Future & Halsey)","Republic Records",6,7,6,"1390431"
8,"spotify:track:6EOKwHETwSkZ9gW2b6ASE0","Lil Tecca","Ransom","Republic Records",1,10,111,"1367397"
9,"spotify:track:4VqTRBvYg0z8C4nsl4Hupy","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,8,329,"1364355"
10,"spotify:track:0hGH0S74Eoyv6mXZcOKtdQ","Post Malone, Meek Mill, Lil Baby","On The Road (feat. Meek Mill & Lil Baby)","Republic Records",7,9,6,"1290448"
11,"spotify:track:3hFG4jR5stnIQJDI64KlJY","Post Malone","A Thousand Bad Times","Republic Records",9,11,6,"1195044"
12,"spotify:track:5qmq61DAAOUaW8AUo8xKhh","Lizzo","Truth Hurts","Nice Life/Atlantic",2,15,144,"1119543"
13,"spotify:track:4hDoWaIklSVAKLocU3IDBr","Post Malone","I'm Gonna Be","Republic Records",11,12,6,"1090224"
14,"spotify:track:4LIbjDbLweGCrHVw8QbMSb","Post Malone","Allergic","Republic Records",10,13,6,"1042901"
15,"spotify:track:2leIuE4fdcJoNMSKu5Yr7a","Post Malone, SZA","Staring At The Sun (feat. SZA)","Republic Records",11,14,6,"1025255"
16,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,17,83,"987508"
17,"spotify:track:2ve5NyzWHUbIYxL33goCX7","Post Malone","Wow.","Republic Records",1,16,262,"973435"
18,"spotify:track:6fTt0CH2t0mdeB2N9XFG5r","Lil Nas X","Panini","Columbia",1,18,84,"953778"
19,"spotify:track:6XHVuErjQ4XNm6nDPVCxVX","Chris Brown, Drake","No Guidance (feat. Drake)","Chris Brown Entertainment/RCA Records",3,19,96,"947318"
20,"spotify:track:5ry2OE6R2zPQFDO85XkgRb","Drake, Rick Ross","Money In The Grave (Drake ft. Rick Ross)","Republic Records",1,20,89,"918566"
21,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",10,24,136,"824191"
22,"spotify:track:4YgtN1HasxdDlrrZIggYxn","Post Malone","Myself","Republic Records",15,21,6,"804441"
23,"spotify:track:3s4mrPrEFFPF0LmAfutW0n","Young Thug, J. Cole, Travis Scott","The London (feat. J. Cole & Travis Scott)","300 Entertainment/Atl",1,25,112,"804110"
24,"spotify:track:2sfZgYusD8bBvB7qWekvSx","Post Malone","I Know","Republic Records",17,22,6,"774881"
25,"spotify:track:5Z8HZM6iQMhhqyPcCGY5g9","Young Thug, Gunna","Hot (feat. Gunna)","300 Entertainment/Atl",15,26,27,"764043"
26,"spotify:track:5MPPttjfGap2C6j6eKcO6J","Quality Control, Lil Baby, DaBaby","Baby (Lil Baby feat. DaBaby)","Quality Control Music/Motown Records",14,27,57,"740747"
27,"spotify:track:4RzpCjByV1NWUGKVQGuej6","Post Malone","Internet","Republic Records",14,23,6,"734796"
28,"spotify:track:70eFcWOvlMObDhURTqT4Fv","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","Atlantic Records UK",3,29,76,"722744"
29,"spotify:track:2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","bad guy","Darkroom/Interscope Records",1,28,167,"719593"
30,"spotify:track:1GeNui6m825V8jP4uKiIaH","Young Thug, Lil Baby","Bad Bad Bad (feat. Lil Baby)","300 Entertainment/Atl",7,31,27,"706059"
31,"spotify:track:2gwkD6igEhQbDQegRCcdoB","DaBaby","Suge","South Coast Music Group/Interscope Records",3,33,166,"702154"
32,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",1,30,27,"695950"
33,"spotify:track:0Ryd8975WihbObpp5cPW1t","Ariana Grande, Social House","boyfriend (with Social House)","Republic Records",1,32,41,"692529"
34,"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","blackbear","hot girl bummer","Alamo",25,34,20,"660850"
35,"spotify:track:6alCTRgBPoeAFi2N4il9Q4","Lil Tecca","Did It Again","Republic Records",18,36,37,"644470"
36,"spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y","Sam Smith","How Do You Sleep?","Capitol",10,37,55,"638290"
37,"spotify:track:3Yh9lZcWyKrK9GjbhuS0hR","Lizzo","Good as Hell","Nice Life/Atlantic",19,35,89,"634111"
38,"spotify:track:51Fjme0JiitpyXKuyQiCDo","Y2K, bbno$","Lalala","Columbia",11,38,88,"627720"
39,"spotify:track:4sjiIpEv617LDXaidKioOI","YNW Melly, 9lokknine","223's (feat. 9lokknine)","300 Entertainment",39,39,30,"596132"
40,"spotify:track:2zjGJ0dChMR0KxBZS15aqo","Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie","Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","10 Summers Records/Interscope Records",32,40,76,"579774"
41,"spotify:track:5N1o6d8zGcSZSeMFkOUQOk","Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj","Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","300 Entertainment",2,43,34,"557460"
42,"spotify:track:44ADyYoY5liaRa3EOAl4uf","Miley Cyrus","Slide Away","RCA Records Label",13,44,27,"555574"
